English_Issues,English_Solutions
workload,Don't work or study continuously. Take some small breaks in every 40 minutes. Listen some good music
overload,Don't work or study continuously. Take some small breaks in every 40 minutes. Listen some good music
education,Don't hesitate to clear your doubts. If you are unable to ask from your lecturers then ask from your friends Group studies will help you. 
university problems,Discuss with university administration and lecturers. Schedule your other works according to the university time table
attendance,Discuss with university administration and lecturers. Schedule your other works according to the university time table
mistakes,Mistakes are the opportunities to learn. Correct your mistakes and don't over think about those mistakes. Watch some motivational speech and stories. 
submission,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.
submit,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.
submitting,Plan and schedule your time for do the assignment or exercise. Prepare some notes and points when your are studying. Don't panic. Add reminders for submission. Talk to your lecturers.
marks,"Identify the reasons and weak chapters or modules. Prepare notes and clear the doubts. Refer books, tutorials or online courses"
concentrate,"Play some brain game such as puzzle, chess and scrambles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits."
concentrated,"Play some brain game such as puzzle, chess and scrambles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits."
concentrating,"Play some brain game such as puzzle, chess and scrambles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits."
focus,"Play some brain game such as puzzle, chess and scrambles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits."
focusing,"Play some brain game such as puzzle, chess and scrambles. Try to get outside every day, even for just 15 to 20 minutes. You might take a short walk through a park. Sitting in your garden or backyard can also help. Any natural environment has benefits."
course problem,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the environment. If you still have the issue then decide whether the course is correct for you or do you want to change. Contact your university. 
university problem,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the environment. If you still have the issue then decide whether the university is correct for you or do you want to change. Contact your university.
degree problem,Figure out what’s making you unhappy. Talk to people. Give some time to adapt to the environment. If you still have the issue then decide whether the course is correct for you or do you want to change. Contact your university. 
lecturers problem,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest
seniors problem,Talk to them about the issues. Avoid the issues as you can. Try to concentrate on your studies more. Be obedient and honest
ragged,Don't panic. Take ragging sportive and enjoy. If it is beyond the limit file complaint. 
rags,Don't panic. Take ragging sportive and enjoy. If it is beyond the limit file complaint. 
ragging,Don't panic. Take ragging sportive and enjoy. If it is beyond the limit file complaint. 
lecture problem,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot."
subject problem,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot."
syllabus problem,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot."
module problem,"Watch some motivational speech. Set your goal. Try to understand the uncleared topics with the help of  your lecturer, friends and seniors. Group study will help you a lot."
language problem,Language is just a medium to communicate. Do not afraid to communicate with others. Practice regularly. Watch some movies or listen some songs in that particular language in your free time.
communication,Language is just a medium to communicate. Do not afraid to communicate with others. Practice regularly. Watch some movies or listen some songs in that particular language in your free time.
english problem,"Talk to your friends or your family members in English. Speaking in English regularly makes you to talk fluently. Watch English movies, cartoons and listen some songs in your free time."
fear,Be real with how you feel. Be conscious of your intentions. Focus on positive thoughts. Breathing exercise will help you
physical,"A healthy diet, regular exercise, sleep and social support can relieve or manage the symptoms of illness or injury and help improve recovery. Taking a positive view can also make a huge difference to recovery from illness."
diseases,"A healthy diet, regular exercise, sleep and social support can relieve or manage the symptoms of illness or injury and help improve recovery. Taking a positive view can also make a huge difference to recovery from illness."
longterm issues,"A healthy diet, regular exercise, sleep and social support can relieve or manage the symptoms of illness or injury and help improve recovery. Taking a positive view can also make a huge difference to recovery from illness."
mental,Accept your needs. Recognize what your triggers are. Practice relaxation. Exercise or meditate daily. Get enough sleep. Avoid alcohol and drugs.
stress,"Balance responsibilities (like schoolwork) with activities you enjoy (like relaxing or spending time with friends). It's all about balance: all work and no play is bad. Make time to exercise every day. Get proper sleep. Listen some good music. Watching anime is also a good way to reduce stress. Finding a relaxing hobby, such as gardening"
stressed,"Balance responsibilities (like schoolwork) with activities you enjoy (like relaxing or spending time with friends). It's all about balance: all work and no play is bad. Make time to exercise every day. Get proper sleep. Listen some good music. Watching anime is also a good way to reduce stress. Finding a relaxing hobby, such as gardening or woodworking."
depression,meditation is a good solution. Exercise. It temporarily boosts you. Get enough sleep. Eat healthy. Avoid alcohol and other drugs. Finding a relaxing hobby
depressed,meditation is a good solution. Exercise. It temporarily boosts you. Get enough sleep. Eat healthy. Avoid alcohol and other drugs. Finding a relaxing hobby
financial,It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.
finance,It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.
income,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking."
money,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking."
poor,"It's all about balance: all work and no play is bad. Recognize how you deal with stress related to money. Avoid temptation. Remember what's important. Ask for support. Get proper sleep. Listen some good music.  Finding a relaxing hobby, such as gardening or woodworking."
angry,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humour to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise"
anger,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humour to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise"
temper,"Think before you speak. Once you're calm, express your concerns. Take a timeout. Use humour to release tension. Watch cartoons or comedy videos. Do yoga or breathing exercise"
appreciation,Appreciate Yourself. Be Appreciative of Others. Keep in Mind That Life Is Not Fair. So Focus on the Good Only. See the Importance of What You Do and Relish It. Be Confident.
appreciate,Appreciate Yourself. Be Appreciative of Others. Keep in Mind That Life Is Not Fair. So Focus on the Good Only. See the Importance of What You Do and Relish It. Be Confident.
appreciates,Appreciate Yourself. Be Appreciative of Others. Keep in Mind That Life Is Not Fair. So Focus on the Good Only. See the Importance of What You Do and Relish It. Be Confident.
feelings,"Practice mindfulness. Share your feelings honestly. Talk to someone you trust. Smile to make yourself feel good. Find a mirror, make it fun. Do breathing exercise."
feeling,"Practice mindfulness. Share your feelings honestly. Talk to someone you trust. Smile to make yourself feel good. Find a mirror, make it fun. Do breathing exercise."
loneliness,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
lonely,Do all the things that make you happy. Hang with your family or friends if you can. Meet new people and be friendly with them. Find a volunteer opportunity as a way to feel less lonely. Join your university clubs to overcome loneliness with in-person connections.
