Tamil_Issues,Tamil_Solutions
பணிச்சுமை,தொடர்ந்து வேலை செய்யவோ படிக்கவோ வேண்டாம். ஒவ்வொரு 40 நிமிடங்களுக்கும் சில சிறிய இடைவெளிகளை எடுத்துக் கொள்ளுங்கள். நல்ல இசையைக் கேளுங்கள்
வேலைப்பளு,தொடர்ந்து வேலை செய்யவோ படிக்கவோ வேண்டாம். ஒவ்வொரு 40 நிமிடங்களுக்கும் சில சிறிய இடைவெளிகளை எடுத்துக் கொள்ளுங்கள். நல்ல இசையைக் கேளுங்கள்
கல்வி,உங்கள் சந்தேகங்களை தெளிவுபடுத்த தயங்காதீர்கள். உங்களால் உங்கள் விரிவுரையாளர்களிடம் கேட்க முடியவில்லை என்றால் உங்கள் நண்பர்களிடம் கேளுங்கள். குழு ஆய்வுகள் உங்களுக்கு உதவும்.
வருகை,பல்கலைக்கழக நிர்வாகம் மற்றும் விரிவுரையாளர்களுடன் கலந்துரையாடுங்கள். பல்கலைக்கழக கால அட்டவணையின்படி உங்கள் மற்ற வேலைகளை திட்டமிடுங்கள்
சமர்ப்பிப்பு,வேலை அல்லது உடற்பயிற்சி செய்ய உங்கள் நேரத்தை திட்டமிட்டு திட்டமிடுங்கள். நீங்கள் படிக்கும் போது சில குறிப்புகளை தயார் செய்யுங்கள். பீதியடைய வேண்டாம். சமர்ப்பிப்பதற்கான நினைவூட்டல்களைச் சேர்க்கவும். உங்கள் விரிவுரையாளர்களிடம் பேசுங்கள்.
மதிப்பெண்கள்,"காரணங்கள் மற்றும் பலவீனமான அத்தியாயங்கள் அல்லது தொகுதிகளை அடையாளம் காணவும். குறிப்புகளை தயார் செய்து சந்தேகங்களை நிவர்த்தி செய்யவும். புத்தகங்கள், பயிற்சிகள் அல்லது ஆன்லைன் படிப்புகளைப் பார்க்கவும்"
கவனம்,"புதிர், சதுரங்கம் மற்றும் ஸ்கிராம்பிள் போன்ற சில மூளை விளையாட்டுகளை விளையாடுங்கள். ஒவ்வொரு நாளும், 15 முதல் 20 நிமிடங்கள் கூட வெளியில் செல்ல முயற்சி செய்யுங்கள். நீங்கள் ஒரு பூங்கா வழியாக ஒரு சிறிய நடைப்பயணத்தை மேற்கொள்ளலாம். உங்கள் தோட்டத்திலோ அல்லது கொல்லைப்புறத்திலோ உட்கார்ந்து கொள்ளலாம். எந்த இயற்கை சூழலும் பொருத்தமானது"
படிப்பு பிடிக்கவில்லை,"எது உங்களை மகிழ்ச்சியடையச் செய்கிறது என்பதைக் கண்டறியவும். மக்களிடம் பேசுங்கள். சூழலுக்கு ஏற்ப சிறிது நேரம் கொடுங்கள். உங்களுக்கு இன்னும் சிக்கல் இருந்தால், பாடநெறி உங்களுக்கு சரியானதா அல்லது மாற்ற விரும்புகிறீர்களா என்பதைத் தீர்மானிக்கவும். உங்கள் பல்கலைக்கழகத்தை தொடர்பு கொள்ளவும்."
பல்கலைக்கழகம் பிடிக்கவில்லை,"எது உங்களை மகிழ்ச்சியடையச் செய்கிறது என்பதைக் கண்டறியவும். மக்களிடம் பேசுங்கள். சூழலுக்கு ஏற்ப சிறிது நேரம் கொடுங்கள். உங்களுக்கு இன்னும் சிக்கல் இருந்தால், பாடநெறி உங்களுக்கு சரியானதா அல்லது மாற்ற விரும்புகிறீர்களா என்பதைத் தீர்மானிக்கவும். உங்கள் பல்கலைக்கழகத்தை தொடர்பு கொள்ளவும்."
பகிடிவதை,பீதியடைய வேண்டாம். பகிடிவதையை விளையாட்டாக எடுத்து மகிழுங்கள். வரம்புக்கு அப்பாற்பட்டதாக இருந்தால் புகார் அளிக்கவும்.
விரிவுரைகள்,"சில ஊக்கமளிக்கும் பேச்சுகளைப் பாருங்கள். உங்கள் இலக்கை அமைக்கவும். உங்கள் விரிவுரையாளர், நண்பர்கள் மற்றும் மூத்தவர்களின் உதவியுடன் தெளிவற்ற தலைப்புகளைப் புரிந்துகொள்ள முயற்சிக்கவும். குழு ஆய்வு உங்களுக்கு மிகவும் உதவும்."
தொடர்பாடல்,மொழி என்பது தொடர்பு கொள்ள ஒரு ஊடகம் மட்டுமே. மற்றவர்களுடன் தொடர்பு கொள்ள பயப்பட வேண்டாம். தொடர்ந்து பயிற்சி செய்யுங்கள். உங்கள் ஓய்வு நேரத்தில் குறிப்பிட்ட மொழியில் சில திரைப்படங்களைப் பாருங்கள் அல்லது சில பாடல்களைக் கேளுங்கள்.
மொழி,மொழி என்பது தொடர்பு கொள்ள ஒரு ஊடகம் மட்டுமே. மற்றவர்களுடன் தொடர்பு கொள்ள பயப்பட வேண்டாம். தொடர்ந்து பயிற்சி செய்யுங்கள். உங்கள் ஓய்வு நேரத்தில் குறிப்பிட்ட மொழியில் சில திரைப்படங்களைப் பாருங்கள் அல்லது சில பாடல்களைக் கேளுங்கள்.
ஆங்கிலம்,"உங்கள் நண்பர்கள் அல்லது உங்கள் குடும்ப உறுப்பினர்களுடன் ஆங்கிலத்தில் பேசுங்கள். தொடர்ந்து ஆங்கிலத்தில் பேசுவது சரளமாக பேச உதவுகிறது. ஆங்கிலத் திரைப்படங்கள் மற்றும் கார்ட்டூன்களைப் பார்த்து, ஓய்வு நேரத்தில் சில பாடல்களைக் கேளுங்கள்."
பயம்,நீங்கள் எப்படி உணருகிறீர்கள் என்பதில் உண்மையாக இருங்கள். உங்கள் நோக்கங்களில் விழிப்புடன் இருங்கள். நேர்மறை எண்ணங்களில் கவனம் செலுத்துங்கள். மூச்சுப் பயிற்சி உங்களுக்கு உதவும்
நோய்கள்,உங்கள் ஆரோக்கியத்தை மேம்படுத்த சாப்பிட மற்றும் குடிக்கவும். தொடர்ந்து உடற்பயிற்சி செய்யுங்கள். தளர்வு நுட்பங்களைப் படித்து பயிற்சி செய்யுங்கள்.
