Thanglish_Issues,Thanglish_Solutions
panichchumai,Thodarnthu velai seiyavo padikkavo vendaam. Ovvoru 40 nimidangalukkum siriya idaivelaikalai eduththukkollungal. Nalla isaiyai kelungal
velaippalu,Thodarnthu velai seiyavo padikkavo vendaam. Ovvoru 40 nimidangalukkum siriya idaivelaikalai eduththukkollungal. Nalla isaiyai kelungal
kalvi,Ungal santhehangalai thelivu paduththa thayangatheerkal. Ungal virivuraiyalarkalidam ketka mudiyavillai enraal ungal nanbarkalidam kelungal. Kuzhu aayvukal ungalukku uthavum.
varuhai,Palkalaikkazhaka nirvaakam matrum virivuraiyaalarkaludan kalanthuraiyaadungal. Palkalaikkazhaka nerasoosippadi ungal matra velaikali thittamidungal.
mathippenkal,"Kaaranangal matrum palaveenamana padangalai adayaalam kanavum. Kurippukalai thayaar seithu santhehangail nivarthi seiyavum. Puththahangal, payirchihalai seiyavum."
kavanam,"Puthir, sathurangam poanra moolai vilaiyattukalai vilaiyaadungal. Ovvoru naalum 15-20 nimidangal veliyila sellungal. Oru poongaavil siriya nadaipayanathai mearkollalaam. Allathu thoattathiloa kollaipurathiloa utkarnthu kollalaam. Entha iyarkai soolalum poruththamaanathu."
padippu pidikkavillai,Ethu ungalai makizhchiyadaiya seikirathu enpathai kandariyavum. Soolnilaiku earppa mudivedungal. Innum pirachchinaikal irunthal padangal sariyanatha illai maatra virumbukireerkala enpathai theermanikkavum.
pakidivathai,Peethiyadaiya vendam. Pakidivathaiyai vilaiyattaka eduthu makilungal. Varambukku apparpattathaka irunthaal melathikarikalidam puhar seiyungal.
mozhi pirachinaikal,Mozhi enpathu thodarpu kolla oru oodakam mattume. Matravarkaludan thodarpu kolla payappada vendam. Thodarntu payirchi seiyungal. Unkal ooyvu nerathil kurippitta mozhiyil sila thiraipadangalai parungal allathu sila padalkalai kelungal.
payam,Neengal eppadi unarkireenkal enpathil unmayaaka irungal. Ungal noakkangalil vilippudan irungal. Nermarai ennankalil kavanam seluththaatheerkal. Moochu payirchi ungaluku uthavum.
noaikal,Ungal aaroakiyatha mempaduthum unavu matrum panangalai arunthungal. Thodarnthu udarpayirchi seiyungal. Manatha amaithiyaka vaithu kollungal
mana azhuththam,Nambarkaludan nerathai selaviduvathu poanra neengal anupaithu seiyum seyarpadukaludan padippathai samanilai paduthungal. Thinamum udarpayirchi seiyungal. Kelichithirangal parpathum padalkal ketpathum mana azhuthai kuraikum.
manachoarvu,Thodarnthu udarpayirchi seiyungal. Poathumana alavu urangungal. Aaroakiyamaha sappidungal. Poathaiporutkalai thavirkavum. Thodarnthu udarpayirchi seiyungal.
porulathaara,Panam thodarpaana pirachinaikala neengal evvaru ethikolla vendum enpatha arinthu kollungal. Veen selavukalai thavirkavum. Poathiyalavu urangungal. Melliya isayai kelungal.
varumaanam,Panam thodarpaana pirachinaikala neengal evvaru ethikolla vendum enpatha arinthu kollungal. Veen selavukalai thavirkavum. Poathiyalavu urangungal. Melliya isayai kelungal.
varumai,Panam thodarpaana pirachinaikala neengal evvaru ethikolla vendum enpatha arinthu kollungal. Veen selavukalai thavirkavum. Poathiyalavu urangungal. Melliya isayai kelungal.
koapam,Pesuvatharku mun yosiyungal. Neram eduthu nithanamaha pesa pazhahungal. Patharrathai thavirka nahaichuvayai parungal. Yoga allathu moochu payirchi seiyungal
thanimai,Ungaluku makizhchi tharum anaithu seyalkalaiyum seiyungal.  Ungalaal mudinthavarai ungal kudumbathudanum nanparkaludanum pesungal. Puthiya nabarkaludan natpaka pazhakungal.
vetkam,"Kan thodarpu, udal mozhi, kelvi ketpathu poanra samooha nadathaikalai payirchi seiyungal. Punnaikaiyungal. Pesuvatharku mu oththihai seiyungal."
pathattam,Soolnilayai ethir kollungal. Amaithiyaha irungal. Aalamaha suwasiyungal. Nithanama irungal.
vanmurai,Neengal paathikkappattirunthaal allathu saatchiyaha irunthal ungal nambikakuriyavarkalidam koorungal. Manatha thisai thiruppungal. Mellisaiya thinamum kelungal.
kavalai,Thinamum 15-20 nimidangal vehamaha nadakavum. Eppothum pirachinayai patri yosikatheenhal. Nambikkayanavarkaludan ungal pirachinaikalai koorungal. Ithu ungal kavalaiyai kuraika uthavum.
peethi,"Thiyanam, yoga, moochu payirchi poanra payirchikalai seiyungal. Thasai thalarvu nutpangalai payanpaduthungal."
